frame.protocols,eth.src,eth.dst,ip.src,ip.dst,ip.flags,ip.checksum,tcp.flags,tcp.checksum,alert,frame.year,frame.month,frame.day,frame.hour,frame.minute,frame.second,attack_probability,anomaly_score,alert_score,final_alert,shap_top_features
1,2,2,3,1,0,42161,2,45506,0,2026,8,16,0,0,25,0.20317847,0.4217,0.2906,0,"ip.src (-0.672), tcp.flags (-0.456), frame.second (-0.286)"
1,3,1,2,1,0,42161,2,45506,0,2026,8,16,0,0,26,0.09985521,0.527,0.2707,0,"frame.second (-0.654), eth.src (-0.624), tcp.flags (-0.490)"
7,2,1,2,2,2,4804,16,13525,0,2026,8,16,0,0,27,0.404694,0.4772,0.4337,0,"frame.second (-0.620), eth.src (+0.340), frame.minute (+0.229)"
7,1,2,2,1,2,42161,16,13525,1,2026,8,16,0,0,28,0.7852662,0.5052,0.6732,1,"frame.second (+0.298), frame.minute (+0.292), ip.flags (+0.175)"
7,2,1,2,3,2,4804,2,45506,0,2026,8,16,0,0,29,0.53684634,0.5609,0.5465,1,"frame.second (+0.480), frame.minute (+0.431), tcp.flags (-0.423)"
2,1,3,1,1,0,42161,16,13525,0,2026,8,16,0,0,30,0.39456883,0.4783,0.428,0,"frame.second (+0.510), eth.dst (-0.440), ip.flags (-0.404)"
7,2,3,1,2,0,42161,24,13525,1,2026,8,16,0,0,31,0.47974482,0.5011,0.4883,0,"frame.second (+0.683), eth.dst (-0.497), ip.flags (-0.445)"
2,3,1,3,2,2,42161,24,45506,1,2026,8,16,0,0,32,0.91551477,0.4721,0.7381,1,"frame.second (+0.675), tcp.flags (+0.622), frame.minute (+0.399)"
2,2,2,1,3,2,42161,16,45506,1,2026,8,16,0,0,33,0.885715,0.3925,0.6884,1,"frame.second (+0.496), eth.src (+0.461), ip.dst (-0.408)"
7,2,3,1,2,2,4804,16,13525,1,2026,8,16,0,0,34,0.9150342,0.4988,0.7485,1,"eth.src (+0.463), ip.src (+0.449), tcp.flags (+0.447)"
2,1,2,3,1,0,42161,2,13525,0,2026,8,16,0,0,35,0.06466409,0.5547,0.2607,0,"frame.second (-0.580), ip.src (-0.573), tcp.flags (-0.495)"
7,1,2,3,2,2,42161,16,13525,0,2026,8,16,0,0,36,0.13728335,0.5131,0.2876,0,"ip.src (-1.183), tcp.flags (-0.331), ip.flags (+0.224)"
7,1,3,3,3,2,4804,2,45506,1,2026,8,16,0,0,37,0.4737847,0.9133,0.6496,1,"eth.dst (+0.314), frame.minute (+0.288), ip.flags (+0.254)"
1,2,2,1,2,0,4804,24,45506,0,2026,8,16,0,0,38,0.19113748,0.3794,0.2664,0,"frame.second (-0.518), ip.flags (-0.464), eth.src (+0.327)"
7,3,3,1,2,0,42161,16,13525,0,2026,8,16,0,0,39,0.3867747,0.482,0.4249,0,"tcp.flags (+0.563), ip.flags (-0.396), eth.src (-0.396)"
1,1,2,3,2,0,4804,2,45506,0,2026,8,16,0,0,40,0.039193373,0.5362,0.238,0,"frame.second (-0.799), ip.src (-0.630), tcp.flags (-0.383)"
7,1,3,2,3,2,4804,2,45506,0,2026,8,16,0,0,41,0.2615237,0.8031,0.4781,0,"tcp.flags (-0.556), ip.dst (-0.364), ip.flags (+0.241)"
7,2,1,3,2,0,4804,24,13525,1,2026,8,16,0,0,42,0.7264873,0.6187,0.6834,1,"frame.second (+0.543), tcp.flags (+0.480), ip.src (-0.403)"
1,1,3,2,2,0,42161,16,13525,0,2026,8,16,0,0,43,0.21349731,0.2667,0.2348,0,"frame.minute (-0.379), eth.src (-0.345), ip.flags (-0.319)"
1,3,3,2,1,2,42161,24,45506,0,2026,8,16,0,0,44,0.11553841,0.6378,0.3245,0,"eth.src (-0.804), frame.second (-0.528), frame.minute (-0.324)"
7,3,3,3,3,0,42161,2,45506,0,2026,8,16,0,0,45,0.07042767,0.785,0.3563,0,"tcp.flags (-0.512), frame.second (-0.437), frame.protocols (-0.374)"
2,1,3,3,2,2,4804,2,13525,0,2026,8,16,0,0,46,0.19509825,0.6348,0.371,0,"frame.second (-0.469), ip.src (-0.324), frame.minute (-0.317)"
1,1,2,3,3,2,42161,16,45506,0,2026,8,16,0,0,47,0.104174,0.3997,0.2224,0,"ip.src (-0.963), eth.src (-0.381), ip.dst (-0.347)"
2,2,1,1,2,0,4804,2,45506,0,2026,8,16,0,0,48,0.28926906,0.4536,0.355,0,"frame.minute (-0.645), eth.src (+0.471), ip.flags (-0.350)"
2,3,3,2,2,0,42161,16,13525,1,2026,8,16,0,0,49,0.30033565,0.3539,0.3217,0,"frame.minute (-0.568), tcp.flags (+0.421), eth.src (-0.353)"
2,3,2,1,2,0,42161,24,13525,0,2026,8,16,0,0,50,0.039377704,0.4499,0.2036,0,"eth.src (-0.783), frame.minute (-0.726), frame.second (-0.632)"
1,1,1,1,1,0,4804,16,45506,0,2026,8,16,0,0,51,0.1949076,0.6815,0.3896,0,"frame.minute (-0.856), ip.flags (-0.429), frame.protocols (-0.304)"
2,2,1,3,1,0,42161,16,45506,0,2026,8,16,0,0,52,0.08090047,0.5881,0.2838,0,"ip.src (-1.101), frame.minute (-0.688), frame.second (-0.349)"
1,3,1,1,1,0,4804,2,45506,0,2026,8,16,0,0,53,0.07866705,0.7968,0.3659,0,"frame.minute (-0.785), eth.src (-0.448), ip.flags (-0.421)"
2,3,1,3,3,2,4804,2,13525,0,2026,8,16,0,0,54,0.09084271,0.8445,0.3923,0,"ip.src (-0.804), frame.second (-0.593), ip.dst (-0.428)"
7,2,3,2,3,2,42161,16,45506,1,2026,8,16,0,0,55,0.8207234,0.5998,0.7323,1,"ip.flags (+0.583), tcp.flags (+0.326), ip.src (+0.284)"
7,2,3,3,1,0,4804,2,45506,0,2026,8,16,0,0,56,0.05865021,0.9837,0.4287,0,"frame.second (-1.101), ip.src (-0.692), frame.minute (-0.535)"
1,3,2,1,3,2,42161,2,13525,1,2026,8,16,0,0,57,0.70497173,0.7405,0.7192,1,"ip.flags (+0.515), ip.dst (-0.448), ip.src (+0.429)"
7,3,2,1,2,0,42161,2,13525,0,2026,8,16,0,0,58,0.18185388,0.7047,0.391,0,"ip.flags (-0.534), frame.minute (-0.398), tcp.flags (-0.387)"
7,2,2,3,2,2,4804,16,45506,0,2026,8,16,0,0,59,0.13005039,0.5872,0.3129,0,"ip.src (-1.412), ip.flags (+0.260), tcp.flags (-0.216)"
2,3,1,3,2,2,42161,2,13525,0,2026,8,16,0,1,0,0.13008122,0.8295,0.4099,0,"frame.second (-0.661), eth.src (-0.439), ip.src (-0.405)"
1,1,1,1,1,2,4804,16,13525,1,2026,8,16,0,1,1,0.7213304,0.6169,0.6795,1,"ip.src (+0.728), ip.dst (+0.419), frame.second (-0.410)"
2,1,3,2,3,0,42161,2,45506,0,2026,8,16,0,1,2,0.09360154,0.7746,0.366,0,"ip.dst (-0.725), frame.second (-0.690), eth.dst (-0.499)"
2,2,1,2,1,2,42161,24,13525,0,2026,8,16,0,1,3,0.41401792,0.4555,0.4306,0,"frame.second (-1.010), eth.src (+0.238), tcp.flags (+0.189)"
2,2,1,3,3,0,42161,2,13525,0,2026,8,16,0,1,4,0.12448222,0.7214,0.3633,0,"ip.src (-0.778), ip.dst (-0.486), frame.second (-0.445)"
2,2,1,2,2,2,42161,2,45506,0,2026,8,16,0,1,5,0.2914665,0.4174,0.3419,0,"frame.second (-0.937), tcp.flags (-0.540), frame.minute (+0.472)"
2,1,2,1,1,2,42161,16,13525,0,2026,8,16,0,1,6,0.44939128,0.391,0.426,0,"frame.second (-0.680), ip.src (+0.430), ip.dst (+0.286)"
2,3,2,3,3,2,4804,16,45506,0,2026,8,16,0,1,7,0.04616634,0.6185,0.2751,0,"frame.second (-1.226), ip.src (-0.694), ip.dst (-0.429)"
2,1,3,1,3,2,4804,2,45506,0,2026,8,16,0,1,8,0.08584947,0.8267,0.3822,0,"frame.second (-0.721), ip.dst (-0.610), eth.dst (-0.455)"
1,3,1,1,2,2,4804,24,13525,0,2026,8,16,0,1,9,0.12026835,0.5859,0.3065,0,"eth.src (-1.138), frame.second (-0.514), ip.checksum (-0.272)"
7,1,1,2,1,0,4804,2,13525,0,2026,8,16,0,1,10,0.22230646,0.5694,0.3612,0,"frame.protocols (-0.850), tcp.flags (-0.431), ip.dst (+0.139)"
2,3,3,3,1,0,4804,2,13525,1,2026,8,16,0,1,11,0.8060206,0.7777,0.7947,1,"eth.src (-0.465), ip.src (+0.361), ip.dst (+0.330)"
2,1,1,3,1,2,4804,24,45506,1,2026,8,16,0,1,12,0.6972766,0.7157,0.7046,1,"tcp.flags (+0.642), ip.src (-0.566), frame.minute (+0.480)"
2,2,1,2,2,2,42161,16,13525,1,2026,8,16,0,1,13,0.70979655,0.1679,0.4931,0,"eth.src (+0.430), frame.second (-0.385), frame.minute (+0.384)"
2,1,2,1,1,2,42161,2,45506,0,2026,8,16,0,1,14,0.19832838,0.476,0.3094,0,"tcp.flags (-0.791), frame.second (-0.468), ip.flags (-0.203)"
2,3,3,1,2,2,4804,16,13525,0,2026,8,16,0,1,15,0.20623752,0.4793,0.3155,0,"eth.src (-0.735), eth.dst (-0.506), ip.dst (+0.153)"
2,1,3,1,2,0,4804,16,13525,0,2026,8,16,0,1,16,0.6702575,0.4633,0.5875,1,"frame.second (+0.726), eth.dst (-0.446), ip.src (+0.186)"
7,1,3,1,2,2,42161,24,13525,0,2026,8,16,0,1,17,0.54694694,0.4918,0.5249,1,"eth.dst (-0.415), frame.protocols (-0.401), frame.second (+0.324)"
7,1,3,3,3,0,42161,24,45506,0,2026,8,16,0,1,18,0.23967199,0.7735,0.4532,0,"ip.dst (-0.559), eth.dst (-0.443), ip.flags (-0.386)"
2,2,2,3,1,2,42161,16,13525,0,2026,8,16,0,1,19,0.22428781,0.2246,0.2244,0,"ip.src (-1.101), tcp.flags (-0.409), frame.second (+0.303)"
7,1,2,2,1,0,4804,2,13525,0,2026,8,16,0,1,20,0.27745017,0.4576,0.3495,0,"tcp.flags (-0.581), frame.protocols (-0.450), ip.dst (+0.314)"
1,2,1,2,2,2,4804,16,45506,0,2026,8,16,0,1,21,0.6485368,0.2505,0.4893,0,"frame.minute (+0.714), frame.protocols (-0.408), eth.src (+0.283)"
2,2,1,3,2,2,4804,2,45506,1,2026,8,16,0,1,22,0.6831852,0.3334,0.5433,1,"frame.minute (+0.778), frame.second (+0.699), ip.src (-0.662)"
1,1,1,3,1,0,42161,2,13525,0,2026,8,16,0,1,23,0.18901967,0.6125,0.3584,0,"ip.src (-0.530), eth.dst (-0.436), tcp.flags (-0.431)"
1,1,1,1,2,2,42161,24,13525,0,2026,8,16,0,1,24,0.93879277,0.3145,0.6891,1,"tcp.flags (+0.795), frame.minute (+0.518), frame.second (+0.476)"
2,1,2,1,1,2,4804,2,13525,0,2026,8,16,0,1,25,0.32012203,0.4,0.3521,0,"tcp.flags (-0.836), frame.second (-0.368), ip.dst (+0.351)"
7,3,3,2,3,2,4804,2,45506,0,2026,8,16,0,1,26,0.17908335,0.6186,0.3549,0,"frame.second (-0.727), ip.dst (-0.501), frame.minute (+0.450)"
1,1,2,3,2,0,42161,16,45506,0,2026,8,16,0,1,27,0.14661875,0.2783,0.1993,0,"ip.src (-0.886), frame.second (-0.599), tcp.flags (-0.487)"
2,2,1,2,1,2,42161,24,45506,1,2026,8,16,0,1,28,0.9438397,0.3114,0.6909,1,"frame.minute (+0.737), tcp.flags (+0.536), frame.second (+0.509)"
1,1,2,3,2,2,42161,2,45506,1,2026,8,16,0,1,29,0.72586495,0.2736,0.545,1,"frame.second (+0.897), frame.minute (+0.673), ip.src (-0.456)"
1,3,3,1,1,0,42161,2,13525,0,2026,8,16,0,1,30,0.17629538,0.5649,0.3317,0,"eth.src (-0.700), tcp.flags (-0.365), eth.dst (-0.330)"
1,1,3,2,1,0,4804,24,45506,1,2026,8,16,0,1,31,0.84430736,0.4208,0.6749,1,"frame.minute (+0.575), ip.dst (+0.522), frame.second (+0.472)"
1,3,2,2,2,0,42161,16,45506,1,2026,8,16,0,1,32,0.81876326,0.1421,0.5481,1,"frame.minute (+0.537), eth.src (-0.384), tcp.flags (+0.317)"
7,3,2,3,3,2,42161,24,45506,1,2026,8,16,0,1,33,0.87046623,0.6427,0.7794,1,"tcp.flags (+0.712), frame.minute (+0.465), ip.checksum (+0.384)"
1,1,2,1,1,2,42161,24,13525,1,2026,8,16,0,1,34,0.9233103,0.3692,0.7017,1,"tcp.flags (+0.529), eth.src (+0.348), frame.minute (+0.334)"
1,2,1,2,1,2,4804,2,13525,0,2026,8,16,0,1,35,0.28344694,0.4643,0.3558,0,"tcp.flags (-0.513), frame.second (-0.476), eth.src (+0.390)"
1,3,2,1,1,0,4804,2,45506,0,2026,8,16,0,1,36,0.08864442,0.4533,0.2345,0,"frame.second (-1.114), eth.src (-0.784), tcp.flags (-0.515)"
7,1,2,2,3,2,42161,16,45506,0,2026,8,16,0,1,37,0.6471029,0.3958,0.5466,1,"frame.minute (+0.371), tcp.flags (+0.295), ip.dst (-0.199)"
1,1,2,1,3,2,42161,2,13525,0,2026,8,16,0,1,38,0.14210293,0.5524,0.3062,0,"tcp.flags (-0.971), ip.dst (-0.678), frame.second (-0.263)"
1,2,3,3,2,0,42161,2,13525,1,2026,8,16,0,1,39,0.6959156,0.3944,0.5753,1,"eth.dst (+0.466), eth.src (+0.401), frame.minute (+0.291)"
7,3,3,2,3,0,4804,24,13525,0,2026,8,16,0,1,40,0.087637275,0.7214,0.3412,0,"eth.src (-0.547), eth.dst (-0.360), ip.dst (-0.351)"
7,3,1,2,2,0,4804,2,13525,1,2026,8,16,0,1,41,0.16305497,0.4333,0.2712,0,"tcp.flags (-0.661), eth.src (-0.579), frame.second (-0.198)"
7,1,1,1,2,0,4804,16,13525,1,2026,8,16,0,1,42,0.8687926,0.4815,0.7139,1,"ip.src (+0.674), tcp.flags (+0.422), frame.second (+0.361)"
1,1,3,1,3,0,42161,24,13525,1,2026,8,16,0,1,43,0.6504033,0.5292,0.6019,1,"tcp.flags (+0.446), frame.second (+0.384), ip.flags (-0.358)"
7,2,3,2,2,2,4804,16,13525,1,2026,8,16,0,1,44,0.8573244,0.4185,0.6818,1,"eth.src (+0.525), frame.second (+0.427), tcp.flags (+0.342)"
7,2,3,3,3,0,42161,24,13525,0,2026,8,16,0,1,45,0.13347937,0.6407,0.3364,0,"frame.protocols (-0.467), ip.dst (-0.431), ip.flags (-0.329)"
1,3,2,1,2,2,42161,2,45506,0,2026,8,16,0,1,46,0.22614661,0.4638,0.3212,0,"tcp.flags (-0.650), eth.src (-0.549), frame.second (-0.344)"
7,3,2,1,3,2,42161,24,45506,0,2026,8,16,0,1,47,0.18257017,0.7374,0.4045,0,"eth.src (-0.606), frame.protocols (-0.364), frame.second (-0.315)"
1,1,3,1,3,0,4804,24,45506,0,2026,8,16,0,1,48,0.18474728,0.6113,0.3554,0,"ip.dst (-0.766), ip.flags (-0.288), eth.dst (-0.280)"
2,3,2,2,2,0,42161,2,45506,0,2026,8,16,0,1,49,0.36615172,0.2334,0.313,0,"eth.src (-0.609), tcp.flags (-0.463), ip.src (+0.261)"
7,2,2,2,1,0,4804,2,45506,0,2026,8,16,0,1,50,0.7742787,0.3847,0.6184,1,"frame.second (+0.451), eth.src (+0.383), ip.dst (+0.362)"
2,2,1,2,2,2,4804,16,45506,1,2026,8,16,0,1,51,0.9334234,0.2487,0.6595,1,"frame.minute (+0.600), frame.second (+0.532), eth.src (+0.385)"
1,1,3,2,3,0,42161,16,13525,0,2026,8,16,0,1,52,0.09789456,0.4236,0.2282,0,"ip.dst (-0.760), eth.src (-0.373), frame.second (-0.351)"
7,2,3,3,1,0,42161,2,13525,0,2026,8,16,0,1,53,0.09305236,0.7205,0.344,0,"frame.second (-0.791), ip.src (-0.416), frame.protocols (-0.402)"
1,2,2,3,2,0,4804,2,45506,0,2026,8,16,0,1,54,0.06300569,0.3661,0.1842,0,"frame.second (-1.215), ip.src (-0.816), tcp.flags (-0.324)"
2,2,3,2,2,0,42161,2,45506,0,2026,8,16,0,1,55,0.08705811,0.2819,0.165,0,"frame.second (-1.446), ip.flags (-0.532), tcp.flags (-0.360)"
1,2,1,3,2,0,4804,24,13525,0,2026,8,16,0,1,56,0.078718394,0.4937,0.2447,0,"frame.second (-1.108), ip.src (-0.781), ip.flags (-0.468)"
7,1,1,1,1,2,42161,24,13525,1,2026,8,16,0,1,57,0.8185149,0.7933,0.8084,1,"ip.flags (+0.488), frame.protocols (-0.323), ip.src (+0.309)"
7,1,1,1,3,2,4804,24,13525,0,2026,8,16,0,1,58,0.6047281,0.8804,0.715,1,"ip.dst (-0.589), ip.src (+0.304), ip.flags (+0.302)"
2,3,3,1,2,2,4804,2,45506,1,2026,8,16,0,1,59,0.77714956,0.7056,0.7485,1,"frame.second (+0.574), frame.minute (+0.418), ip.flags (+0.396)"
1,2,3,2,2,0,4804,16,13525,0,2026,8,16,0,2,0,0.200955,0.5123,0.3255,0,"frame.second (-0.948), eth.dst (-0.356), eth.src (+0.235)"
7,3,3,1,2,0,4804,2,45506,1,2026,8,16,0,2,1,0.62008214,0.8279,0.7032,1,"frame.minute (+0.503), eth.src (-0.438), ip.src (+0.363)"
2,1,3,3,2,0,42161,24,45506,0,2026,8,16,0,2,2,0.087460846,0.6126,0.2975,0,"frame.second (-1.192), eth.dst (-0.494), ip.src (-0.253)"
7,1,3,2,2,2,42161,24,13525,0,2026,8,16,0,2,3,0.053148348,0.5247,0.2418,0,"frame.second (-1.476), frame.protocols (-0.755), eth.dst (-0.471)"
7,1,1,3,3,0,4804,2,13525,0,2026,8,16,0,2,4,0.053721584,0.8079,0.3554,0,"ip.src (-0.862), frame.second (-0.726), frame.protocols (-0.472)"
1,1,2,1,3,0,4804,2,45506,1,2026,8,16,0,2,5,0.8057574,0.6659,0.7498,1,"frame.second (+0.825), ip.dst (-0.718), ip.src (+0.619)"
7,1,1,1,2,0,42161,24,13525,0,2026,8,16,0,2,6,0.12661123,0.6105,0.3202,0,"frame.protocols (-0.993), frame.second (-0.881), ip.src (+0.235)"
1,1,3,1,1,2,42161,24,13525,0,2026,8,16,0,2,7,0.16934192,0.5667,0.3283,0,"frame.second (-1.224), eth.dst (-0.800), eth.src (+0.286)"
7,1,1,2,3,0,42161,24,45506,1,2026,8,16,0,2,8,0.51058584,0.5988,0.5459,1,"frame.protocols (-0.561), frame.second (-0.428), eth.dst (+0.255)"
2,2,3,3,1,2,42161,2,13525,1,2026,8,16,0,2,9,0.8083546,0.4019,0.6458,1,"eth.dst (+0.458), ip.flags (-0.397), eth.src (+0.320)"
7,3,3,2,3,0,42161,24,45506,0,2026,8,16,0,2,10,0.07694827,0.4738,0.2357,0,"eth.src (-0.658), eth.dst (-0.548), frame.protocols (-0.439)"
1,1,1,2,2,2,42161,24,45506,1,2026,8,16,0,2,11,0.871801,0.3878,0.6782,1,"tcp.flags (+0.718), frame.minute (+0.377), eth.src (+0.227)"
1,2,3,1,3,2,4804,16,13525,0,2026,8,16,0,2,12,0.08775303,0.5546,0.2745,0,"frame.second (-0.768), ip.dst (-0.698), eth.dst (-0.651)"
2,2,2,2,2,2,42161,2,45506,0,2026,8,16,0,2,13,0.2104452,0.1448,0.1842,0,"tcp.flags (-0.800), frame.second (-0.710), eth.src (+0.316)"
7,3,3,2,3,0,42161,16,45506,0,2026,8,16,0,2,14,0.1009195,0.3329,0.1937,0,"eth.src (-0.563), eth.dst (-0.485), frame.second (-0.381)"
7,1,2,1,2,0,4804,16,13525,1,2026,8,16,0,2,15,0.8739302,0.3216,0.653,1,"ip.src (+0.552), frame.second (+0.498), tcp.flags (+0.412)"
2,3,2,2,2,2,42161,24,13525,1,2026,8,16,0,2,16,0.89570457,0.1741,0.6071,1,"frame.second (+1.254), eth.src (-0.518), tcp.flags (+0.481)"
7,1,3,1,2,2,42161,2,13525,0,2026,8,16,0,2,17,0.39085975,0.5233,0.4438,0,"frame.second (+0.567), tcp.flags (-0.415), frame.protocols (-0.351)"
7,2,1,1,2,0,42161,24,45506,0,2026,8,16,0,2,18,0.46057546,0.4345,0.4502,0,"frame.second (+0.473), frame.protocols (-0.422), ip.flags (-0.312)"
1,2,2,1,1,0,42161,2,45506,0,2026,8,16,0,2,19,0.8225695,0.3775,0.6445,1,"ip.dst (+0.519), frame.second (+0.426), tcp.flags (-0.415)"
7,2,1,1,2,2,42161,16,13525,1,2026,8,16,0,2,20,0.79869443,0.4822,0.6721,1,"ip.src (+0.659), eth.src (+0.363), tcp.flags (+0.165)"
7,2,2,2,1,0,4804,2,45506,1,2026,8,16,0,2,21,0.7837827,0.2301,0.5623,1,"frame.second (+0.492), ip.dst (+0.469), tcp.flags (-0.426)"
2,3,3,1,1,0,42161,24,13525,0,2026,8,16,0,2,22,0.19958043,0.4025,0.2808,0,"eth.src (-1.085), frame.second (+0.784), eth.dst (-0.559)"
2,1,3,1,2,0,4804,24,13525,1,2026,8,16,0,2,23,0.8672348,0.3986,0.6798,1,"frame.second (+0.897), frame.minute (+0.419), tcp.flags (+0.390)"
1,1,2,2,1,0,4804,24,45506,1,2026,8,16,0,2,24,0.95127076,0.2976,0.6898,1,"frame.minute (+0.648), tcp.flags (+0.597), ip.dst (+0.596)"
7,3,3,2,3,2,42161,2,13525,0,2026,8,16,0,2,25,0.05828208,0.5962,0.2735,0,"tcp.flags (-0.718), eth.src (-0.550), ip.dst (-0.538)"
7,1,2,3,2,0,4804,16,45506,0,2026,8,16,0,2,26,0.04561145,0.4318,0.2001,0,"ip.src (-1.168), frame.second (-0.768), tcp.flags (-0.389)"
7,2,3,2,1,0,42161,16,45506,0,2026,8,16,0,2,27,0.2818729,0.2948,0.287,0,"frame.second (-0.693), frame.protocols (-0.522), eth.src (+0.327)"
1,1,1,2,2,2,4804,2,13525,0,2026,8,16,0,2,28,0.18213025,0.3567,0.2519,0,"tcp.flags (-0.605), frame.protocols (-0.232), ip.checksum (-0.217)"
1,2,3,3,2,2,4804,24,45506,0,2026,8,16,0,2,29,0.30294397,0.4544,0.3635,0,"ip.src (-0.581), ip.checksum (-0.483), frame.protocols (-0.324)"
2,3,1,2,2,0,42161,16,13525,0,2026,8,16,0,2,30,0.26582032,0.2864,0.274,0,"eth.src (-0.779), ip.flags (-0.153), ip.dst (+0.146)"
1,1,3,2,1,0,42161,24,45506,1,2026,8,16,0,2,31,0.88658357,0.2705,0.6401,1,"frame.second (+0.531), frame.minute (+0.415), ip.dst (+0.404)"
7,3,1,2,3,0,42161,2,45506,0,2026,8,16,0,2,32,0.07066723,0.5428,0.2595,0,"tcp.flags (-0.869), eth.src (-0.584), frame.protocols (-0.327)"
7,1,3,2,3,0,42161,24,45506,0,2026,8,16,0,2,33,0.11674518,0.5018,0.2707,0,"frame.protocols (-0.637), eth.dst (-0.548), ip.flags (-0.450)"
1,2,1,3,1,2,42161,16,13525,0,2026,8,16,0,2,34,0.13113122,0.3813,0.2312,0,"ip.src (-1.217), eth.dst (-0.483), tcp.flags (-0.318)"
7,3,2,2,2,2,4804,16,45506,0,2026,8,16,0,2,35,0.33906338,0.2501,0.3035,0,"frame.second (-0.478), eth.src (-0.464), tcp.flags (+0.380)"
